expiry,strike,volatility
0.02,90,2.231
0.02,100,1.113
0.02,110,1.056
0.02,120,0.459
0.02,125,0.328
0.02,130,0.265
0.02,135,0.244
0.02,140,0.281
0.02,150,0.453
0.02,160,0.648
0.02,170,0.729
0.05,90,1.241
0.05,100,0.925
0.05,110,0.749
0.05,120,0.373
0.05,125,0.326
0.05,130,0.289
0.05,135,0.282
0.05,140,0.278
0.05,150,0.301
0.05,160,0.363
0.05,170,0.453
0.1,90,0.963
0.1,100,0.635
0.1,110,0.517
0.1,120,0.414
0.1,125,0.346
0.1,130,0.288
0.1,135,0.272
0.1,140,0.271
0.1,150,0.272
0.1,160,0.315
0.1,170,0.359
0.25,90,0.539
0.25,100,0.535
0.25,110,0.471
0.25,120,0.396
0.25,125,0.35
0.25,130,0.352
0.25,135,0.318
0.25,140,0.317
0.25,150,0.303
0.25,160,0.295
0.25,170,0.306
0.5,90,0.515
0.5,100,0.532
0.5,110,0.439
0.5,120,0.398
0.5,125,0.373
0.5,130,0.339
0.5,135,0.319
0.5,140,0.319
0.5,150,0.294
0.5,160,0.295
0.5,170,0.297
1.0,90,0.508
1.0,100,0.484
1.0,110,0.448
1.0,120,0.42
1.0,125,0.418
1.0,130,0.381
1.0,135,0.376
1.0,140,0.401
1.0,150,0.354
1.0,160,0.344
1.0,170,0.322
2.0,90,0.499
2.0,100,0.472
2.0,110,0.465
2.0,120,0.428
2.0,125,0.411
2.0,130,0.419
2.0,135,0.393
2.0,140,0.382
2.0,150,0.375
2.0,160,0.358
2.0,170,0.349
