expiry,strike,volatility
0.01,97,0.25
0.01,98,0.35
0.01,99,0.22
0.01,100,0.2
0.01,101,0.185
0.01,102,0.177
0.01,103,0.18055
0.03,95,0.28
0.03,96,0.27
0.03,97,0.26
0.03,98,0.25
0.03,99,0.235
0.03,100,0.22
0.03,101,0.21
0.03,102,0.195
0.03,103,0.18
0.03,104,0.17
0.03,105,0.165
0.05,90,0.3
0.05,95,0.26
0.05,96,0.25
0.05,97,0.24
0.05,98,0.23
0.05,99,0.22
0.05,100,0.21
0.05,101,0.195
0.05,102,0.183
0.05,103,0.17
0.05,104,0.165
0.05,105,0.162
0.05,110,0.177
0.1,80,0.37
0.1,90,0.28
0.1,95,0.24
0.1,96,0.232
0.1,97,0.22
0.1,98,0.217
0.1,99,0.208
0.1,100,0.2
0.1,101,0.192
0.1,102,0.184
0.1,103,0.177
0.1,104,0.17
0.1,105,0.164
0.1,110,0.155
0.1,120,0.19
0.5,70,0.35
0.5,80,0.297
0.5,90,0.252
0.5,95,0.23
0.5,96,0.226
0.5,97,0.22
0.5,98,0.217
0.5,99,0.213
0.5,100,0.208
0.5,101,0.204
0.5,102,0.199
0.5,103,0.195
0.5,104,0.19
0.5,105,0.186
0.5,110,0.165
0.5,120,0.145
0.5,130,0.151
1,60,0.355
1,70,0.311
1,80,0.275
1,90,0.24
1,95,0.226
1,96,0.222
1,97,0.219
1,98,0.216
1,99,0.213
1,100,0.21
1,101,0.206
1,102,0.203
1,103,0.2
1,104,0.195
1,105,0.193
1,110,0.176
1,120,0.147
1,130,0.141
1,140,0.146
2,60,0.3
2,70,0.277
2,80,0.253
2,90,0.231
2,95,0.219
2,96,0.217
2,97,0.215
2,98,0.213
2,99,0.211
2,100,0.208
2,101,0.206
2,102,0.204
2,103,0.202
2,104,0.199
2,105,0.197
2,110,0.186
2,120,0.1666
2,130,0.151
2,140,0.145
5,60,0.264
5,70,0.248
5,80,0.234
5,90,0.22
5,95,0.215
5,96,0.214
5,97,0.213
5,98,0.212
5,99,0.211
5,100,0.21
5,101,0.208
5,102,0.207
5,103,0.206
5,104,0.205
5,105,0.204
5,110,0.198
5,120,0.187
5,130,0.178
5,140,0.169
