tenor,moneyness,value
0.01,0.97,0.291
0.01,0.98,0.4116
0.01,0.99,0.26136
0.01,1,0.24
0.01,1.01,0.22422
0.01,1.02,0.216648
0.01,1.03,0.2231598
0.03,0.95,0.3192
0.03,0.96,0.31104
0.03,0.97,0.30264
0.03,0.98,0.294
0.03,0.99,0.27918
0.03,1,0.264
0.03,1.01,0.25452
0.03,1.02,0.23868
0.03,1.03,0.22248
0.03,1.04,0.21216
0.03,1.05,0.2079
0.05,0.9,0.324
0.05,0.95,0.2964
0.05,0.96,0.288
0.05,0.97,0.27936
0.05,0.98,0.27048
0.05,0.99,0.26136
0.05,1,0.252
0.05,1.01,0.23634
0.05,1.02,0.223992
0.05,1.03,0.21012
0.05,1.04,0.20592
0.05,1.05,0.20412
0.05,1.1,0.23364
0.1,0.8,0.3552
0.1,0.9,0.3024
0.1,0.95,0.2736
0.1,0.96,0.267264
0.1,0.97,0.25608
0.1,0.98,0.255192
0.1,0.99,0.247104
0.1,1,0.24
0.1,1.01,0.232704
0.1,1.02,0.225216
0.1,1.03,0.218772
0.1,1.04,0.21216
0.1,1.05,0.20664
0.1,1.1,0.2046
0.1,1.2,0.2736
0.5,0.7,0.294
0.5,0.8,0.28512
0.5,0.9,0.27216
0.5,0.95,0.2622
0.5,0.96,0.260352
0.5,0.97,0.25608
0.5,0.98,0.255192
0.5,0.99,0.253044
0.5,1,0.2496
0.5,1.01,0.247248
0.5,1.02,0.243576
0.5,1.03,0.24102
0.5,1.04,0.23712
0.5,1.05,0.23436
0.5,1.1,0.2178
0.5,1.2,0.2088
0.5,1.3,0.23556
1,0.6,0.2556
1,0.7,0.26124
1,0.8,0.264
1,0.9,0.2592
1,0.95,0.25764
1,0.96,0.255744
1,0.97,0.254916
1,0.98,0.254016
1,0.99,0.253044
1,1,0.252
1,1.01,0.249672
1,1.02,0.248472
1,1.03,0.2472
1,1.04,0.24336
1,1.05,0.24318
1,1.1,0.23232
1,1.2,0.21168
1,1.3,0.21996
1,1.4,0.24528
2,0.6,0.216
2,0.7,0.23268
2,0.8,0.24288
2,0.9,0.24948
2,0.95,0.24966
2,0.96,0.249984
2,0.97,0.25026
2,0.98,0.250488
2,0.99,0.250668
2,1,0.2496
2,1.01,0.249672
2,1.02,0.249696
2,1.03,24.9672
2,1.04,0.248352
2,1.05,0.24822
2,1.1,0.24552
2,1.2,0.239904
2,1.3,0.23556
2,1.4,0.2436
5,0.6,0.19008
5,0.7,0.20832
5,0.8,0.22464
5,0.9,0.2376
5,0.95,0.2451
5,0.96,0.246528
5,0.97,0.247932
5,0.98,0.249312
5,0.99,0.250668
5,1,0.252
5,1.01,0.252096
5,1.02,0.253368
5,1.03,0.254616
5,1.04,0.25584
5,1.05,0.25704
5,1.1,0.26136
5,1.2,0.26928
5,1.3,0.27768
5,1.4,1.96392
