expiry,strike,volatility
0.02,140,0.975
0.02,150,0.760
0.02,160,0.534
0.02,170,0.333
0.02,175,0.248
0.02,180,0.210
0.02,185,0.207
0.02,190,0.248
0.02,200,0.371
0.02,210,0.469
0.02,220,0.547
0.05,140,0.653
0.05,150,0.520
0.05,160,0.415
0.05,170,0.283
0.05,175,0.252
0.05,180,0.224
0.05,185,0.208
0.05,190,0.204
0.05,200,0.240
0.05,210,0.299
0.05,220,0.344
0.1,140,0.566
0.1,150,0.471
0.1,160,0.360
0.1,170,0.274
0.1,175,0.244
0.1,180,0.226
0.1,185,0.210
0.1,190,0.202
0.1,200,0.210
0.1,210,0.247
0.1,220,0.293
0.25,140,0.465
0.25,150,0.395
0.25,160,0.343
0.25,170,0.300
0.25,175,0.280
0.25,180,0.263
0.25,185,0.253
0.25,190,0.240
0.25,200,0.226
0.25,210,0.223
0.25,220,0.227
0.5,140,0.440
0.5,150,0.382
0.5,160,0.340
0.5,170,0.306
0.5,175,0.289
0.5,180,0.278
0.5,185,0.264
0.5,190,0.253
0.5,200,0.235
0.5,210,0.224
0.5,220,0.219
1.0,140,0.416
1.0,150,0.387
1.0,160,0.359
1.0,170,0.336
1.0,175,0.330
1.0,180,0.320
1.0,185,0.309
1.0,190,0.301
1.0,200,0.289
1.0,210,0.274
1.0,220,0.263
2.0,140,0.415
2.0,150,0.386
2.0,160,0.368
2.0,170,0.352
2.0,175,0.345
2.0,180,0.341
2.0,185,0.333
2.0,190,0.327
2.0,200,0.311
2.0,210,0.300
2.0,220,0.289
